V1	V(n001)	V(n002)	I(R1)
7.900000000000000e-01	7.900000e-01	9.723345e-02	9.723345e-03
8.000000000000000e-01	8.000000e-01	1.038664e-01	1.038664e-02
8.100000000000001e-01	8.100000e-01	1.106255e-01	1.106255e-02
8.200000000000001e-01	8.200000e-01	1.175022e-01	1.175022e-02
8.300000000000001e-01	8.300000e-01	1.244882e-01	1.244882e-02
8.400000000000000e-01	8.400000e-01	1.315763e-01	1.315763e-02
8.500000000000000e-01	8.500000e-01	1.387595e-01	1.387595e-02
8.600000000000000e-01	8.600000e-01	1.460317e-01	1.460317e-02
8.700000000000000e-01	8.700000e-01	1.533871e-01	1.533871e-02
8.800000000000000e-01	8.800000e-01	1.608204e-01	1.608204e-02
8.900000000000000e-01	8.900000e-01	1.683268e-01	1.683268e-02
9.000000000000000e-01	9.000000e-01	1.759018e-01	1.759018e-02
9.100000000000000e-01	9.100000e-01	1.835414e-01	1.835414e-02
9.200000000000000e-01	9.200000e-01	1.912416e-01	1.912416e-02
9.300000000000000e-01	9.300000e-01	1.989992e-01	1.989991e-02
9.400000000000001e-01	9.400000e-01	2.068107e-01	2.068107e-02
9.500000000000001e-01	9.500000e-01	2.146732e-01	2.146732e-02
9.600000000000000e-01	9.600000e-01	2.225840e-01	2.225840e-02
9.700000000000000e-01	9.700000e-01	2.305405e-01	2.305405e-02
9.800000000000000e-01	9.800000e-01	2.385404e-01	2.385404e-02
9.900000000000000e-01	9.900000e-01	2.465813e-01	2.465813e-02
1.000000000000000e+00	1.000000e+00	2.546613e-01	2.546613e-02
1.010000000000000e+00	1.010000e+00	2.627784e-01	2.627784e-02
1.020000000000000e+00	1.020000e+00	2.709308e-01	2.709308e-02
1.030000000000000e+00	1.030000e+00	2.791169e-01	2.791169e-02
1.040000000000000e+00	1.040000e+00	2.873351e-01	2.873351e-02
1.050000000000000e+00	1.050000e+00	2.955840e-01	2.955840e-02
1.060000000000000e+00	1.060000e+00	3.038622e-01	3.038622e-02
1.070000000000000e+00	1.070000e+00	3.121683e-01	3.121683e-02
1.080000000000000e+00	1.080000e+00	3.205012e-01	3.205012e-02
1.090000000000000e+00	1.090000e+00	3.288598e-01	3.288598e-02
1.100000000000000e+00	1.100000e+00	3.372429e-01	3.372429e-02
1.110000000000000e+00	1.110000e+00	3.456497e-01	3.456497e-02
1.120000000000000e+00	1.120000e+00	3.540790e-01	3.540790e-02
1.130000000000000e+00	1.130000e+00	3.625301e-01	3.625301e-02
1.140000000000000e+00	1.140000e+00	3.710021e-01	3.710021e-02
