V1	V(n001)	I(D2)
1.030000000000000e+00	1.030000e+00	3.237726e-01
1.040000000000000e+00	1.040000e+00	3.379574e-01
1.050000000000000e+00	1.050000e+00	3.522569e-01
1.060000000000000e+00	1.060000e+00	3.666644e-01
1.070000000000000e+00	1.070000e+00	3.811739e-01
1.080000000000000e+00	1.080000e+00	3.957796e-01
1.090000000000000e+00	1.090000e+00	4.104764e-01
1.100000000000000e+00	1.100000e+00	4.252594e-01
1.110000000000000e+00	1.110000e+00	4.401239e-01
1.120000000000000e+00	1.120000e+00	4.550660e-01
1.130000000000000e+00	1.130000e+00	4.700817e-01
1.140000000000000e+00	1.140000e+00	4.851673e-01
1.150000000000000e+00	1.150000e+00	5.003194e-01
1.160000000000000e+00	1.160000e+00	5.155349e-01
1.170000000000000e+00	1.170000e+00	5.308109e-01
1.180000000000000e+00	1.180000e+00	5.461445e-01
1.190000000000000e+00	1.190000e+00	5.615333e-01
1.200000000000000e+00	1.200000e+00	5.769747e-01
1.210000000000000e+00	1.210000e+00	5.924665e-01
1.220000000000000e+00	1.220000e+00	6.080065e-01
1.230000000000000e+00	1.230000e+00	6.235927e-01
1.240000000000000e+00	1.240000e+00	6.392233e-01
1.250000000000000e+00	1.250000e+00	6.548964e-01
1.260000000000000e+00	1.260000e+00	6.706103e-01
1.270000000000000e+00	1.270000e+00	6.863635e-01
1.280000000000000e+00	1.280000e+00	7.021545e-01
1.290000000000000e+00	1.290000e+00	7.179818e-01
1.300000000000000e+00	1.300000e+00	7.338440e-01
1.310000000000000e+00	1.310000e+00	7.497399e-01
1.320000000000000e+00	1.320000e+00	7.656683e-01
1.330000000000000e+00	1.330000e+00	7.816281e-01
1.340000000000000e+00	1.340000e+00	7.976181e-01
1.350000000000000e+00	1.350000e+00	8.136373e-01
1.360000000000000e+00	1.360000e+00	8.296847e-01
1.370000000000000e+00	1.370000e+00	8.457595e-01
1.380000000000000e+00	1.380000e+00	8.618606e-01
1.390000000000000e+00	1.390000e+00	8.779872e-01
1.400000000000000e+00	1.400000e+00	8.941385e-01
1.410000000000000e+00	1.410000e+00	9.103138e-01
1.420000000000000e+00	1.420000e+00	9.265122e-01
1.430000000000000e+00	1.430000e+00	9.427332e-01
1.440000000000000e+00	1.440000e+00	9.589760e-01
1.450000000000000e+00	1.450000e+00	9.752399e-01
1.460000000000000e+00	1.460000e+00	9.915244e-01
1.470000000000000e+00	1.470000e+00	1.007829e+00
1.480000000000000e+00	1.480000e+00	1.024153e+00
1.490000000000000e+00	1.490000e+00	1.040495e+00
1.500000000000000e+00	1.500000e+00	1.056856e+00
1.510000000000000e+00	1.510000e+00	1.073235e+00
1.520000000000000e+00	1.520000e+00	1.089631e+00
1.530000000000000e+00	1.530000e+00	1.106044e+00
1.540000000000000e+00	1.540000e+00	1.122473e+00
1.550000000000000e+00	1.550000e+00	1.138918e+00
1.560000000000000e+00	1.560000e+00	1.155379e+00
1.570000000000000e+00	1.570000e+00	1.171855e+00
1.580000000000000e+00	1.580000e+00	1.188346e+00
1.590000000000000e+00	1.590000e+00	1.204851e+00
1.600000000000000e+00	1.600000e+00	1.221370e+00
1.610000000000000e+00	1.610000e+00	1.237903e+00
1.620000000000000e+00	1.620000e+00	1.254449e+00
1.630000000000000e+00	1.630000e+00	1.271009e+00
1.640000000000000e+00	1.640000e+00	1.287581e+00
1.650000000000000e+00	1.650000e+00	1.304165e+00
1.660000000000000e+00	1.660000e+00	1.320762e+00
1.670000000000000e+00	1.670000e+00	1.337371e+00
1.680000000000000e+00	1.680000e+00	1.353991e+00
1.690000000000000e+00	1.690000e+00	1.370623e+00
1.700000000000000e+00	1.700000e+00	1.387266e+00
1.710000000000000e+00	1.710000e+00	1.403919e+00
1.720000000000000e+00	1.720000e+00	1.420583e+00
1.730000000000000e+00	1.730000e+00	1.437258e+00
1.740000000000000e+00	1.740000e+00	1.453943e+00
1.750000000000000e+00	1.750000e+00	1.470638e+00
1.760000000000000e+00	1.760000e+00	1.487342e+00
1.770000000000000e+00	1.770000e+00	1.504056e+00
1.780000000000000e+00	1.780000e+00	1.520780e+00
1.790000000000000e+00	1.790000e+00	1.537512e+00
1.800000000000000e+00	1.800000e+00	1.554254e+00
1.810000000000000e+00	1.810000e+00	1.571004e+00
1.820000000000000e+00	1.820000e+00	1.587763e+00
1.830000000000000e+00	1.830000e+00	1.604531e+00
1.840000000000000e+00	1.840000e+00	1.621307e+00
1.850000000000000e+00	1.850000e+00	1.638091e+00
1.860000000000000e+00	1.860000e+00	1.654883e+00
1.870000000000000e+00	1.870000e+00	1.671683e+00
1.880000000000000e+00	1.880000e+00	1.688490e+00
1.890000000000000e+00	1.890000e+00	1.705305e+00
1.900000000000000e+00	1.900000e+00	1.722128e+00
1.910000000000000e+00	1.910000e+00	1.738957e+00
1.920000000000000e+00	1.920000e+00	1.755794e+00
1.930000000000000e+00	1.930000e+00	1.772638e+00
1.940000000000000e+00	1.940000e+00	1.789489e+00
1.950000000000000e+00	1.950000e+00	1.806347e+00
1.960000000000000e+00	1.960000e+00	1.823211e+00
1.970000000000000e+00	1.970000e+00	1.840082e+00
1.980000000000000e+00	1.980000e+00	1.856959e+00
1.990000000000000e+00	1.990000e+00	1.873842e+00
2.000000000000000e+00	2.000000e+00	1.890732e+00
2.010000000000000e+00	2.010000e+00	1.907628e+00
2.020000000000000e+00	2.020000e+00	1.924530e+00
2.030000000000000e+00	2.030000e+00	1.941438e+00
2.040000000000000e+00	2.040000e+00	1.958351e+00
2.050000000000000e+00	2.050000e+00	1.975271e+00
2.060000000000000e+00	2.060000e+00	1.992195e+00
2.070000000000000e+00	2.070000e+00	2.009126e+00
2.080000000000000e+00	2.080000e+00	2.026062e+00
2.090000000000000e+00	2.090000e+00	2.043003e+00
2.100000000000000e+00	2.100000e+00	2.059950e+00
2.110000000000000e+00	2.110000e+00	2.076902e+00
2.120000000000000e+00	2.120000e+00	2.093858e+00
2.130000000000000e+00	2.130000e+00	2.110821e+00
2.140000000000000e+00	2.140000e+00	2.127787e+00
2.150000000000000e+00	2.150000e+00	2.144759e+00
2.160000000000000e+00	2.160000e+00	2.161736e+00
2.170000000000000e+00	2.170000e+00	2.178717e+00
2.180000000000000e+00	2.180000e+00	2.195703e+00
2.190000000000000e+00	2.190000e+00	2.212694e+00
2.200000000000000e+00	2.200000e+00	2.229689e+00
2.210000000000000e+00	2.210000e+00	2.246689e+00
2.220000000000000e+00	2.220000e+00	2.263693e+00
2.230000000000000e+00	2.230000e+00	2.280701e+00
2.240000000000000e+00	2.240000e+00	2.297714e+00
2.250000000000000e+00	2.250000e+00	2.314731e+00
2.260000000000000e+00	2.260000e+00	2.331752e+00
2.270000000000000e+00	2.270000e+00	2.348777e+00
2.280000000000000e+00	2.280000e+00	2.365807e+00
2.290000000000000e+00	2.290000e+00	2.382840e+00
2.300000000000000e+00	2.300000e+00	2.399877e+00
2.310000000000000e+00	2.310000e+00	2.416918e+00
2.320000000000000e+00	2.320000e+00	2.433963e+00
2.330000000000000e+00	2.330000e+00	2.451012e+00
2.340000000000000e+00	2.340000e+00	2.468065e+00
2.350000000000000e+00	2.350000e+00	2.485121e+00
2.360000000000000e+00	2.360000e+00	2.502181e+00
2.370000000000000e+00	2.370000e+00	2.519244e+00
2.380000000000000e+00	2.380000e+00	2.536311e+00
2.390000000000000e+00	2.390000e+00	2.553381e+00
2.400000000000000e+00	2.400000e+00	2.570455e+00
2.410000000000000e+00	2.410000e+00	2.587533e+00
2.420000000000000e+00	2.420000e+00	2.604613e+00
2.430000000000000e+00	2.430000e+00	2.621697e+00
2.440000000000000e+00	2.440000e+00	2.638785e+00
2.450000000000000e+00	2.450000e+00	2.655875e+00
2.460000000000000e+00	2.460000e+00	2.672969e+00
2.470000000000000e+00	2.470000e+00	2.690066e+00
2.480000000000000e+00	2.480000e+00	2.707166e+00
2.490000000000000e+00	2.490000e+00	2.724269e+00
2.500000000000000e+00	2.500000e+00	2.741376e+00
2.510000000000000e+00	2.510000e+00	2.758485e+00
2.520000000000000e+00	2.520000e+00	2.775597e+00
2.530000000000000e+00	2.530000e+00	2.792712e+00
2.540000000000000e+00	2.540000e+00	2.809830e+00
2.550000000000000e+00	2.550000e+00	2.826952e+00
2.560000000000000e+00	2.560000e+00	2.844075e+00
2.570000000000000e+00	2.570000e+00	2.861202e+00
2.580000000000000e+00	2.580000e+00	2.878331e+00
2.590000000000000e+00	2.590000e+00	2.895463e+00
2.600000000000000e+00	2.600000e+00	2.912598e+00
2.610000000000000e+00	2.610000e+00	2.929736e+00
2.620000000000000e+00	2.620000e+00	2.946876e+00
2.630000000000000e+00	2.630000e+00	2.964019e+00
2.640000000000000e+00	2.640000e+00	2.981165e+00
2.650000000000000e+00	2.650000e+00	2.998313e+00
2.660000000000000e+00	2.660000e+00	3.015463e+00
2.670000000000000e+00	2.670000e+00	3.032616e+00
2.680000000000000e+00	2.680000e+00	3.049772e+00
2.690000000000000e+00	2.690000e+00	3.066930e+00
2.700000000000000e+00	2.700000e+00	3.084090e+00
2.710000000000000e+00	2.710000e+00	3.101253e+00
2.720000000000000e+00	2.720000e+00	3.118419e+00
2.730000000000000e+00	2.730000e+00	3.135586e+00
2.740000000000000e+00	2.740000e+00	3.152756e+00
2.750000000000000e+00	2.750000e+00	3.169928e+00
2.760000000000000e+00	2.760000e+00	3.187103e+00
2.770000000000000e+00	2.770000e+00	3.204280e+00
2.780000000000000e+00	2.780000e+00	3.221459e+00
2.790000000000000e+00	2.790000e+00	3.238640e+00
2.800000000000000e+00	2.800000e+00	3.255824e+00
2.810000000000000e+00	2.810000e+00	3.273009e+00
2.820000000000000e+00	2.820000e+00	3.290197e+00
2.830000000000000e+00	2.830000e+00	3.307387e+00
2.840000000000000e+00	2.840000e+00	3.324579e+00
2.850000000000000e+00	2.850000e+00	3.341773e+00
2.860000000000000e+00	2.860000e+00	3.358969e+00
2.870000000000000e+00	2.870000e+00	3.376167e+00
2.880000000000000e+00	2.880000e+00	3.393368e+00
2.890000000000000e+00	2.890000e+00	3.410570e+00
2.900000000000000e+00	2.900000e+00	3.427774e+00
2.910000000000000e+00	2.910000e+00	3.444980e+00
2.920000000000000e+00	2.920000e+00	3.462188e+00
2.930000000000000e+00	2.930000e+00	3.479398e+00
2.940000000000000e+00	2.940000e+00	3.496610e+00
2.950000000000000e+00	2.950000e+00	3.513824e+00
2.960000000000000e+00	2.960000e+00	3.531040e+00
2.970000000000000e+00	2.970000e+00	3.548257e+00
2.980000000000000e+00	2.980000e+00	3.565477e+00
2.990000000000000e+00	2.990000e+00	3.582698e+00
3.000000000000000e+00	3.000000e+00	3.599921e+00
3.010000000000000e+00	3.010000e+00	3.617146e+00
3.020000000000000e+00	3.020000e+00	3.634372e+00
3.030000000000000e+00	3.030000e+00	3.651601e+00
3.040000000000000e+00	3.040000e+00	3.668831e+00
3.050000000000000e+00	3.050000e+00	3.686063e+00
