V1	V(n001)	I(D2)
-3.300000000000000e-01	-3.300000e-01	-2.518597e-09
-3.400000000000000e-01	-3.400000e-01	-2.518950e-09
-3.500000000000000e-01	-3.500000e-01	-2.519235e-09
-3.600000000000000e-01	-3.600000e-01	-2.519466e-09
-3.700000000000000e-01	-3.700000e-01	-2.519653e-09
-3.800000000000000e-01	-3.800000e-01	-2.519805e-09
-3.900000000000000e-01	-3.900000e-01	-2.519929e-09
-4.000000000000000e-01	-4.000000e-01	-2.520030e-09
-4.100000000000000e-01	-4.100000e-01	-2.520113e-09
-4.200000000000000e-01	-4.200000e-01	-2.520182e-09
-4.300000000000000e-01	-4.300000e-01	-2.520239e-09
-4.400000000000000e-01	-4.400000e-01	-2.520287e-09
-4.500000000000000e-01	-4.500000e-01	-2.520327e-09
-4.600000000000000e-01	-4.600000e-01	-2.520362e-09
-4.700000000000000e-01	-4.700000e-01	-2.520391e-09
-4.800000000000000e-01	-4.800000e-01	-2.520417e-09
-4.900000000000000e-01	-4.900000e-01	-2.520439e-09
-5.000000000000000e-01	-5.000000e-01	-2.520459e-09
-5.100000000000000e-01	-5.100000e-01	-2.520478e-09
-5.200000000000000e-01	-5.200000e-01	-2.520494e-09
-5.300000000000000e-01	-5.300000e-01	-2.520509e-09
-5.400000000000000e-01	-5.400000e-01	-2.520523e-09
-5.500000000000000e-01	-5.500000e-01	-2.520536e-09
-5.600000000000001e-01	-5.600000e-01	-2.520549e-09
-5.700000000000001e-01	-5.700000e-01	-2.520561e-09
-5.800000000000000e-01	-5.800000e-01	-2.520573e-09
-5.900000000000000e-01	-5.900000e-01	-2.520584e-09
-6.000000000000000e-01	-6.000000e-01	-2.520596e-09
-6.100000000000000e-01	-6.100000e-01	-2.520606e-09
-6.200000000000000e-01	-6.200000e-01	-2.520617e-09
-6.300000000000000e-01	-6.300000e-01	-2.520628e-09
-6.400000000000000e-01	-6.400000e-01	-2.520638e-09
-6.500000000000000e-01	-6.500000e-01	-2.520649e-09
-6.600000000000000e-01	-6.600000e-01	-2.520659e-09
-6.700000000000000e-01	-6.700000e-01	-2.520669e-09
-6.800000000000000e-01	-6.800000e-01	-2.520679e-09
-6.900000000000001e-01	-6.900000e-01	-2.520689e-09
-7.000000000000001e-01	-7.000000e-01	-2.520700e-09
-7.100000000000000e-01	-7.100000e-01	-2.520710e-09
-7.200000000000000e-01	-7.200000e-01	-2.520720e-09
-7.300000000000000e-01	-7.300000e-01	-2.520730e-09
-7.400000000000000e-01	-7.400000e-01	-2.520740e-09
-7.500000000000000e-01	-7.500000e-01	-2.520750e-09
-7.600000000000000e-01	-7.600000e-01	-2.520760e-09
-7.700000000000000e-01	-7.700000e-01	-2.520770e-09
-7.800000000000000e-01	-7.800000e-01	-2.520780e-09
-7.900000000000000e-01	-7.900000e-01	-2.520790e-09
-8.000000000000000e-01	-8.000000e-01	-2.520800e-09
-8.100000000000001e-01	-8.100000e-01	-2.520810e-09
-8.200000000000001e-01	-8.200000e-01	-2.520820e-09
-8.300000000000001e-01	-8.300000e-01	-2.520830e-09
-8.400000000000000e-01	-8.400000e-01	-2.520840e-09
-8.500000000000000e-01	-8.500000e-01	-2.520850e-09
-8.600000000000000e-01	-8.600000e-01	-2.520860e-09
-8.700000000000000e-01	-8.700000e-01	-2.520870e-09
-8.800000000000000e-01	-8.800000e-01	-2.520880e-09
-8.900000000000000e-01	-8.900000e-01	-2.520890e-09
-9.000000000000000e-01	-9.000000e-01	-2.520900e-09
-9.100000000000000e-01	-9.100000e-01	-2.520910e-09
-9.200000000000000e-01	-9.200000e-01	-2.520920e-09
-9.300000000000000e-01	-9.300000e-01	-2.520930e-09
-9.400000000000001e-01	-9.400000e-01	-2.520940e-09
-9.500000000000001e-01	-9.500000e-01	-2.520950e-09
-9.600000000000000e-01	-9.600000e-01	-2.520960e-09
-9.700000000000000e-01	-9.700000e-01	-2.520970e-09
-9.800000000000000e-01	-9.800000e-01	-2.520980e-09
-9.900000000000000e-01	-9.900000e-01	-2.520990e-09
-1.000000000000000e+00	-1.000000e+00	-2.521000e-09
-1.010000000000000e+00	-1.010000e+00	-2.521010e-09
-1.020000000000000e+00	-1.020000e+00	-2.521020e-09
-1.030000000000000e+00	-1.030000e+00	-2.521030e-09
-1.040000000000000e+00	-1.040000e+00	-2.521040e-09
-1.050000000000000e+00	-1.050000e+00	-2.521050e-09
